country,country_code,partner,product_sector,product_sector_code,indicator,year,value,unit,source
Algeria,Dza,World,Agricultural Products,Ag,Merchandise Imports By Product Group � Annual,2015,10760.831537,Million Us Dollar,wto
Algeria,Dza,World,Agricultural Products,Ag,Merchandise Imports By Product Group � Annual,2016,9630.079658,Million Us Dollar,wto
Algeria,Dza,World,Agricultural Products,Ag,Merchandise Imports By Product Group � Annual,2017,9806.631192,Million Us Dollar,wto
Algeria,Dza,World,Agricultural Products,Ag,Merchandise Imports By Product Group � Annual,2018,8395.841837,Million Us Dollar,wto
Algeria,Dza,World,Agricultural Products,Ag,Merchandise Imports By Product Group � Annual,2019,8840.518,Million Us Dollar,wto
Algeria,Dza,World,Agricultural Products,Ag,Merchandise Imports By Product Group � Annual,2020,8943.665,Million Us Dollar,wto
Algeria,Dza,World,Agricultural Products,Ag,Merchandise Imports By Product Group � Annual,2021,10292.005601,Million Us Dollar,wto
Algeria,Dza,World,Agricultural Products,Ag,Merchandise Imports By Product Group � Annual,2022,12437.892307,Million Us Dollar,wto
Algeria,Dza,World,Agricultural Products,Ag,Merchandise Imports By Product Group � Annual,2023,11458.638878,Million Us Dollar,wto
Algeria,Dza,World,Agricultural Products,Ag,Merchandise Imports By Product Group � Annual,2024,11623.640704,Million Us Dollar,wto
Algeria,Dza,World,Food,Agfo,Merchandise Imports By Product Group � Annual,2015,10005.771167,Million Us Dollar,wto
Algeria,Dza,World,Food,Agfo,Merchandise Imports By Product Group � Annual,2016,8960.493623,Million Us Dollar,wto
Algeria,Dza,World,Food,Agfo,Merchandise Imports By Product Group � Annual,2017,9316.544478,Million Us Dollar,wto
Algeria,Dza,World,Food,Agfo,Merchandise Imports By Product Group � Annual,2018,7713.525398,Million Us Dollar,wto
Algeria,Dza,World,Food,Agfo,Merchandise Imports By Product Group � Annual,2019,8247.338,Million Us Dollar,wto
Algeria,Dza,World,Food,Agfo,Merchandise Imports By Product Group � Annual,2020,8436.079,Million Us Dollar,wto
Algeria,Dza,World,Food,Agfo,Merchandise Imports By Product Group � Annual,2021,9737.282193,Million Us Dollar,wto
Algeria,Dza,World,Food,Agfo,Merchandise Imports By Product Group � Annual,2022,11770.247546,Million Us Dollar,wto
Algeria,Dza,World,Food,Agfo,Merchandise Imports By Product Group � Annual,2023,10736.579945,Million Us Dollar,wto
Algeria,Dza,World,Food,Agfo,Merchandise Imports By Product Group � Annual,2024,10977.229527,Million Us Dollar,wto
Algeria,Dza,World,Manufactures,Ma,Merchandise Imports By Product Group � Annual,2015,37804.881848,Million Us Dollar,wto
Algeria,Dza,World,Manufactures,Ma,Merchandise Imports By Product Group � Annual,2016,35136.194796,Million Us Dollar,wto
Algeria,Dza,World,Manufactures,Ma,Merchandise Imports By Product Group � Annual,2017,33602.751793,Million Us Dollar,wto
Algeria,Dza,World,Manufactures,Ma,Merchandise Imports By Product Group � Annual,2018,30677.132411,Million Us Dollar,wto
Algeria,Dza,World,Manufactures,Ma,Merchandise Imports By Product Group � Annual,2019,29964.528,Million Us Dollar,wto
Algeria,Dza,World,Manufactures,Ma,Merchandise Imports By Product Group � Annual,2020,22580.153,Million Us Dollar,wto
Algeria,Dza,World,Manufactures,Ma,Merchandise Imports By Product Group � Annual,2021,23212.831288,Million Us Dollar,wto
Algeria,Dza,World,Manufactures,Ma,Merchandise Imports By Product Group � Annual,2022,24132.744975,Million Us Dollar,wto
Algeria,Dza,World,Manufactures,Ma,Merchandise Imports By Product Group � Annual,2023,29557.092643,Million Us Dollar,wto
Algeria,Dza,World,Manufactures,Ma,Merchandise Imports By Product Group � Annual,2024,31837.995117,Million Us Dollar,wto
Algeria,Dza,World,Chemicals,Mach,Merchandise Imports By Product Group � Annual,2015,6170.102977,Million Us Dollar,wto
Algeria,Dza,World,Chemicals,Mach,Merchandise Imports By Product Group � Annual,2016,6112.65733,Million Us Dollar,wto
Algeria,Dza,World,Chemicals,Mach,Merchandise Imports By Product Group � Annual,2017,5962.265981,Million Us Dollar,wto
Algeria,Dza,World,Chemicals,Mach,Merchandise Imports By Product Group � Annual,2018,5350.055653,Million Us Dollar,wto
Algeria,Dza,World,Chemicals,Mach,Merchandise Imports By Product Group � Annual,2019,5738.59,Million Us Dollar,wto
Algeria,Dza,World,Chemicals,Mach,Merchandise Imports By Product Group � Annual,2020,5283.175,Million Us Dollar,wto
Algeria,Dza,World,Chemicals,Mach,Merchandise Imports By Product Group � Annual,2021,5736.033408,Million Us Dollar,wto
Algeria,Dza,World,Chemicals,Mach,Merchandise Imports By Product Group � Annual,2022,6606.248464,Million Us Dollar,wto
Algeria,Dza,World,Chemicals,Mach,Merchandise Imports By Product Group � Annual,2023,6816.538362,Million Us Dollar,wto
Algeria,Dza,World,Chemicals,Mach,Merchandise Imports By Product Group � Annual,2024,7153.623703,Million Us Dollar,wto
Algeria,Dza,World,Pharmaceuticals,Machph,Merchandise Imports By Product Group � Annual,2015,2076.077031,Million Us Dollar,wto
Algeria,Dza,World,Pharmaceuticals,Machph,Merchandise Imports By Product Group � Annual,2016,2119.034653,Million Us Dollar,wto
Algeria,Dza,World,Pharmaceuticals,Machph,Merchandise Imports By Product Group � Annual,2017,2022.243942,Million Us Dollar,wto
Algeria,Dza,World,Pharmaceuticals,Machph,Merchandise Imports By Product Group � Annual,2018,1758.838796,Million Us Dollar,wto
Algeria,Dza,World,Pharmaceuticals,Machph,Merchandise Imports By Product Group � Annual,2019,1892.375,Million Us Dollar,wto
Algeria,Dza,World,Pharmaceuticals,Machph,Merchandise Imports By Product Group � Annual,2020,1784.688,Million Us Dollar,wto
Algeria,Dza,World,Pharmaceuticals,Machph,Merchandise Imports By Product Group � Annual,2021,1904.260284,Million Us Dollar,wto
Algeria,Dza,World,Pharmaceuticals,Machph,Merchandise Imports By Product Group � Annual,2022,1583.860153,Million Us Dollar,wto
Algeria,Dza,World,Pharmaceuticals,Machph,Merchandise Imports By Product Group � Annual,2023,1845.919656,Million Us Dollar,wto
Algeria,Dza,World,Pharmaceuticals,Machph,Merchandise Imports By Product Group � Annual,2024,1893.605006,Million Us Dollar,wto
Algeria,Dza,World,Clothing,Macl,Merchandise Imports By Product Group � Annual,2015,423.809143,Million Us Dollar,wto
Algeria,Dza,World,Clothing,Macl,Merchandise Imports By Product Group � Annual,2016,468.743222,Million Us Dollar,wto
Algeria,Dza,World,Clothing,Macl,Merchandise Imports By Product Group � Annual,2017,512.147427,Million Us Dollar,wto
Algeria,Dza,World,Clothing,Macl,Merchandise Imports By Product Group � Annual,2018,752.524182,Million Us Dollar,wto
Algeria,Dza,World,Clothing,Macl,Merchandise Imports By Product Group � Annual,2019,885.152,Million Us Dollar,wto
Algeria,Dza,World,Clothing,Macl,Merchandise Imports By Product Group � Annual,2020,659.518,Million Us Dollar,wto
Algeria,Dza,World,Clothing,Macl,Merchandise Imports By Product Group � Annual,2021,761.109627,Million Us Dollar,wto
Algeria,Dza,World,Clothing,Macl,Merchandise Imports By Product Group � Annual,2022,712.930509,Million Us Dollar,wto
Algeria,Dza,World,Clothing,Macl,Merchandise Imports By Product Group � Annual,2023,938.159427,Million Us Dollar,wto
Algeria,Dza,World,Clothing,Macl,Merchandise Imports By Product Group � Annual,2024,879.954002,Million Us Dollar,wto
Algeria,Dza,World,Iron And Steel,Mais,Merchandise Imports By Product Group � Annual,2015,4321.006411,Million Us Dollar,wto
Algeria,Dza,World,Iron And Steel,Mais,Merchandise Imports By Product Group � Annual,2016,3851.820906,Million Us Dollar,wto
Algeria,Dza,World,Iron And Steel,Mais,Merchandise Imports By Product Group � Annual,2017,3718.181979,Million Us Dollar,wto
Algeria,Dza,World,Iron And Steel,Mais,Merchandise Imports By Product Group � Annual,2018,2282.707876,Million Us Dollar,wto
Algeria,Dza,World,Iron And Steel,Mais,Merchandise Imports By Product Group � Annual,2019,2769.52,Million Us Dollar,wto
Algeria,Dza,World,Iron And Steel,Mais,Merchandise Imports By Product Group � Annual,2020,1770.112,Million Us Dollar,wto
Algeria,Dza,World,Iron And Steel,Mais,Merchandise Imports By Product Group � Annual,2021,1434.995685,Million Us Dollar,wto
Algeria,Dza,World,Iron And Steel,Mais,Merchandise Imports By Product Group � Annual,2022,1856.567925,Million Us Dollar,wto
Algeria,Dza,World,Iron And Steel,Mais,Merchandise Imports By Product Group � Annual,2023,1588.680031,Million Us Dollar,wto
Algeria,Dza,World,Iron And Steel,Mais,Merchandise Imports By Product Group � Annual,2024,1736.566708,Million Us Dollar,wto
Algeria,Dza,World,Machinery And Transport Equipment,Mamt,Merchandise Imports By Product Group � Annual,2015,19508.013064,Million Us Dollar,wto
Algeria,Dza,World,Machinery And Transport Equipment,Mamt,Merchandise Imports By Product Group � Annual,2016,17184.731276,Million Us Dollar,wto
Algeria,Dza,World,Machinery And Transport Equipment,Mamt,Merchandise Imports By Product Group � Annual,2017,16446.635164,Million Us Dollar,wto
Algeria,Dza,World,Machinery And Transport Equipment,Mamt,Merchandise Imports By Product Group � Annual,2018,15028.343941,Million Us Dollar,wto
Algeria,Dza,World,Machinery And Transport Equipment,Mamt,Merchandise Imports By Product Group � Annual,2019,13513.66,Million Us Dollar,wto
Algeria,Dza,World,Machinery And Transport Equipment,Mamt,Merchandise Imports By Product Group � Annual,2020,9011.842,Million Us Dollar,wto
Algeria,Dza,World,Machinery And Transport Equipment,Mamt,Merchandise Imports By Product Group � Annual,2021,9310.15941,Million Us Dollar,wto
Algeria,Dza,World,Machinery And Transport Equipment,Mamt,Merchandise Imports By Product Group � Annual,2022,8406.737025,Million Us Dollar,wto
Algeria,Dza,World,Machinery And Transport Equipment,Mamt,Merchandise Imports By Product Group � Annual,2023,12612.17283,Million Us Dollar,wto
Algeria,Dza,World,Machinery And Transport Equipment,Mamt,Merchandise Imports By Product Group � Annual,2024,14198.718003,Million Us Dollar,wto
Algeria,Dza,World,Automotive Products,Mamtau,Merchandise Imports By Product Group � Annual,2015,4661.348928,Million Us Dollar,wto
Algeria,Dza,World,Automotive Products,Mamtau,Merchandise Imports By Product Group � Annual,2016,3294.226691,Million Us Dollar,wto
Algeria,Dza,World,Automotive Products,Mamtau,Merchandise Imports By Product Group � Annual,2017,3319.318327,Million Us Dollar,wto
Algeria,Dza,World,Automotive Products,Mamtau,Merchandise Imports By Product Group � Annual,2018,4418.258686,Million Us Dollar,wto
Algeria,Dza,World,Automotive Products,Mamtau,Merchandise Imports By Product Group � Annual,2019,3744.743,Million Us Dollar,wto
Algeria,Dza,World,Automotive Products,Mamtau,Merchandise Imports By Product Group � Annual,2020,1814.743,Million Us Dollar,wto
Algeria,Dza,World,Automotive Products,Mamtau,Merchandise Imports By Product Group � Annual,2021,1829.754567,Million Us Dollar,wto
Algeria,Dza,World,Automotive Products,Mamtau,Merchandise Imports By Product Group � Annual,2022,1683.446334,Million Us Dollar,wto
Algeria,Dza,World,Automotive Products,Mamtau,Merchandise Imports By Product Group � Annual,2023,3495.742361,Million Us Dollar,wto
Algeria,Dza,World,Automotive Products,Mamtau,Merchandise Imports By Product Group � Annual,2024,3800.612224,Million Us Dollar,wto
Algeria,Dza,World,Office And Telecom Equipment,Mamtof,Merchandise Imports By Product Group � Annual,2015,2724.594273,Million Us Dollar,wto
Algeria,Dza,World,Office And Telecom Equipment,Mamtof,Merchandise Imports By Product Group � Annual,2016,2415.189442,Million Us Dollar,wto
Algeria,Dza,World,Office And Telecom Equipment,Mamtof,Merchandise Imports By Product Group � Annual,2017,2387.638921,Million Us Dollar,wto
Algeria,Dza,World,Office And Telecom Equipment,Mamtof,Merchandise Imports By Product Group � Annual,2018,1630.576266,Million Us Dollar,wto
Algeria,Dza,World,Office And Telecom Equipment,Mamtof,Merchandise Imports By Product Group � Annual,2019,1767.274,Million Us Dollar,wto
Algeria,Dza,World,Office And Telecom Equipment,Mamtof,Merchandise Imports By Product Group � Annual,2020,1220.135,Million Us Dollar,wto
Algeria,Dza,World,Office And Telecom Equipment,Mamtof,Merchandise Imports By Product Group � Annual,2021,1511.809906,Million Us Dollar,wto
Algeria,Dza,World,Office And Telecom Equipment,Mamtof,Merchandise Imports By Product Group � Annual,2022,992.182733,Million Us Dollar,wto
Algeria,Dza,World,Office And Telecom Equipment,Mamtof,Merchandise Imports By Product Group � Annual,2023,1180.486964,Million Us Dollar,wto
Algeria,Dza,World,Office And Telecom Equipment,Mamtof,Merchandise Imports By Product Group � Annual,2024,1438.887659,Million Us Dollar,wto
Algeria,Dza,World,Electronic Data Processing And Office Equipment,Mamtotep,Merchandise Imports By Product Group � Annual,2015,631.390846,Million Us Dollar,wto
Algeria,Dza,World,Electronic Data Processing And Office Equipment,Mamtotep,Merchandise Imports By Product Group � Annual,2016,459.277294,Million Us Dollar,wto
Algeria,Dza,World,Electronic Data Processing And Office Equipment,Mamtotep,Merchandise Imports By Product Group � Annual,2017,892.832145,Million Us Dollar,wto
Algeria,Dza,World,Electronic Data Processing And Office Equipment,Mamtotep,Merchandise Imports By Product Group � Annual,2018,361.495209,Million Us Dollar,wto
Algeria,Dza,World,Electronic Data Processing And Office Equipment,Mamtotep,Merchandise Imports By Product Group � Annual,2019,330.175,Million Us Dollar,wto
Algeria,Dza,World,Electronic Data Processing And Office Equipment,Mamtotep,Merchandise Imports By Product Group � Annual,2020,249.559,Million Us Dollar,wto
Algeria,Dza,World,Electronic Data Processing And Office Equipment,Mamtotep,Merchandise Imports By Product Group � Annual,2021,271.749967,Million Us Dollar,wto
Algeria,Dza,World,Electronic Data Processing And Office Equipment,Mamtotep,Merchandise Imports By Product Group � Annual,2022,243.776086,Million Us Dollar,wto
Algeria,Dza,World,Electronic Data Processing And Office Equipment,Mamtotep,Merchandise Imports By Product Group � Annual,2023,279.027313,Million Us Dollar,wto
Algeria,Dza,World,Electronic Data Processing And Office Equipment,Mamtotep,Merchandise Imports By Product Group � Annual,2024,365.050815,Million Us Dollar,wto
Algeria,Dza,World,Integrated Circuits And Electronic Components,Mamtotic,Merchandise Imports By Product Group � Annual,2015,295.233753,Million Us Dollar,wto
Algeria,Dza,World,Integrated Circuits And Electronic Components,Mamtotic,Merchandise Imports By Product Group � Annual,2016,124.066096,Million Us Dollar,wto
Algeria,Dza,World,Integrated Circuits And Electronic Components,Mamtotic,Merchandise Imports By Product Group � Annual,2017,139.326928,Million Us Dollar,wto
Algeria,Dza,World,Integrated Circuits And Electronic Components,Mamtotic,Merchandise Imports By Product Group � Annual,2018,22.286239,Million Us Dollar,wto
Algeria,Dza,World,Integrated Circuits And Electronic Components,Mamtotic,Merchandise Imports By Product Group � Annual,2019,29.312,Million Us Dollar,wto
Algeria,Dza,World,Integrated Circuits And Electronic Components,Mamtotic,Merchandise Imports By Product Group � Annual,2020,24.813,Million Us Dollar,wto
Algeria,Dza,World,Integrated Circuits And Electronic Components,Mamtotic,Merchandise Imports By Product Group � Annual,2021,28.077808,Million Us Dollar,wto
Algeria,Dza,World,Integrated Circuits And Electronic Components,Mamtotic,Merchandise Imports By Product Group � Annual,2022,23.767162,Million Us Dollar,wto
Algeria,Dza,World,Integrated Circuits And Electronic Components,Mamtotic,Merchandise Imports By Product Group � Annual,2023,41.620749,Million Us Dollar,wto
Algeria,Dza,World,Integrated Circuits And Electronic Components,Mamtotic,Merchandise Imports By Product Group � Annual,2024,77.136843,Million Us Dollar,wto
Algeria,Dza,World,Telecommunications Equipment,Mamtottl,Merchandise Imports By Product Group � Annual,2015,1797.969674,Million Us Dollar,wto
Algeria,Dza,World,Telecommunications Equipment,Mamtottl,Merchandise Imports By Product Group � Annual,2016,1831.846052,Million Us Dollar,wto
Algeria,Dza,World,Telecommunications Equipment,Mamtottl,Merchandise Imports By Product Group � Annual,2017,1355.479848,Million Us Dollar,wto
Algeria,Dza,World,Telecommunications Equipment,Mamtottl,Merchandise Imports By Product Group � Annual,2018,1246.794817,Million Us Dollar,wto
Algeria,Dza,World,Telecommunications Equipment,Mamtottl,Merchandise Imports By Product Group � Annual,2019,1407.787,Million Us Dollar,wto
Algeria,Dza,World,Telecommunications Equipment,Mamtottl,Merchandise Imports By Product Group � Annual,2020,945.763,Million Us Dollar,wto
Algeria,Dza,World,Telecommunications Equipment,Mamtottl,Merchandise Imports By Product Group � Annual,2021,1211.982131,Million Us Dollar,wto
Algeria,Dza,World,Telecommunications Equipment,Mamtottl,Merchandise Imports By Product Group � Annual,2022,724.639485,Million Us Dollar,wto
Algeria,Dza,World,Telecommunications Equipment,Mamtottl,Merchandise Imports By Product Group � Annual,2023,859.838902,Million Us Dollar,wto
Algeria,Dza,World,Telecommunications Equipment,Mamtottl,Merchandise Imports By Product Group � Annual,2024,996.700001,Million Us Dollar,wto
Algeria,Dza,World,Transport Equipment,Mamtte,Merchandise Imports By Product Group � Annual,2015,5457.820447,Million Us Dollar,wto
Algeria,Dza,World,Transport Equipment,Mamtte,Merchandise Imports By Product Group � Annual,2016,4533.313894,Million Us Dollar,wto
Algeria,Dza,World,Transport Equipment,Mamtte,Merchandise Imports By Product Group � Annual,2017,4622.948444,Million Us Dollar,wto
Algeria,Dza,World,Transport Equipment,Mamtte,Merchandise Imports By Product Group � Annual,2018,5993.601438,Million Us Dollar,wto
Algeria,Dza,World,Transport Equipment,Mamtte,Merchandise Imports By Product Group � Annual,2019,4504.52,Million Us Dollar,wto
Algeria,Dza,World,Transport Equipment,Mamtte,Merchandise Imports By Product Group � Annual,2020,2362.903,Million Us Dollar,wto
Algeria,Dza,World,Transport Equipment,Mamtte,Merchandise Imports By Product Group � Annual,2021,2444.405596,Million Us Dollar,wto
Algeria,Dza,World,Transport Equipment,Mamtte,Merchandise Imports By Product Group � Annual,2022,2310.758532,Million Us Dollar,wto
Algeria,Dza,World,Transport Equipment,Mamtte,Merchandise Imports By Product Group � Annual,2023,4102.498046,Million Us Dollar,wto
Algeria,Dza,World,Transport Equipment,Mamtte,Merchandise Imports By Product Group � Annual,2024,4268.976455,Million Us Dollar,wto
Algeria,Dza,World,Textiles,Mate,Merchandise Imports By Product Group � Annual,2015,633.329544,Million Us Dollar,wto
Algeria,Dza,World,Textiles,Mate,Merchandise Imports By Product Group � Annual,2016,627.792191,Million Us Dollar,wto
Algeria,Dza,World,Textiles,Mate,Merchandise Imports By Product Group � Annual,2017,637.118681,Million Us Dollar,wto
